metro,utility,eiaid,sector,name,label,startdate_iso,enddate_iso,voltagecategory,phasewiring,peakkwcapacitymin,peakkwcapacitymax,peakkwhusagemin,peakkwhusagemax,has_energy_tou,has_demand_structure,has_flat_demand,fixedchargefirstmeter,fixedchargeunits,demandrateunit,is_default,uri
Chicago,Commonwealth Edison Co,4110,Industrial,BES-Very Large Load Delivery Class (Primary),67a39b62f7f9d21dc80bbeab,2025-01-01,,Primary,3-Phase,1000,,,,1,0,1,1045.44,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/67a39b62f7f9d21dc80bbeab
Chicago,Commonwealth Edison Co,4110,Commercial,BES-Very Large Load Delivery Class (Secondary),67a38c8af7f9d21dc80bbea6,2025-01-01,,Secondary,,1000,,,,1,0,1,154.13,$/month,,False,https://apps.openei.org/IURDB/rate/view/67a38c8af7f9d21dc80bbea6
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of (1000 KW or more) (Primary),69de81851e6796dd93026d2e,2026-03-27,,Primary,,1000,,,,1,1,1,106.81933,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de81851e6796dd93026d2e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of (1000 KW or more) (Secondary),69de817e6a1594eddb0e414d,2026-03-27,,Secondary,,1000,,,,1,1,1,104.44159,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de817e6a1594eddb0e414d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of (1000 KW or more) (Transmission),69de818ba6e15ebd62035b3b,2026-03-27,,Transmission,,1000,,,,1,1,1,297.51495,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de818ba6e15ebd62035b3b
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of 1000KW or more Option R (Primary),69de825eedea9919e60bad8f,2026-03-27,,Primary,,1000,,,,1,1,1,106.81933,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de825eedea9919e60bad8f
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of 1000KW or more Option R (Secondary),69de8259c6b8d5269401c6ed,2026-03-27,,Secondary,,1000,,,,1,1,1,104.44159,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8259c6b8d5269401c6ed
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-20 Maximum demand of 1000KW or more Option R (Transmission),69de826508c252b4010e1d40,2026-03-27,,Transmission,,1000,,,,1,0,1,297.51495,$/day,,False,https://apps.openei.org/IURDB/rate/view/69de826508c252b4010e1d40
Dallas-Fort Worth,Oncor Electric Delivery Company LLC,44372,Industrial,Large Non-Residential LSP POLR,539fc29cec4f024c27d8b399,2014-05-01,,Secondary,3-Phase,1000,,,,1,0,1,2929.92,$/month,kW,,https://apps.openei.org/IURDB/rate/view/539fc29cec4f024c27d8b399
Chicago,Commonwealth Edison Co,4110,Industrial,RDS-Very Large Load Delivery Class (Primary),67a39b559598b903c0055c02,2025-01-01,,Primary,3-Phase,1000,,,,1,0,1,1045.44,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/67a39b559598b903c0055c02
Chicago,Commonwealth Edison Co,4110,Commercial,RDS-Very Large Load Delivery Class (Secondary),64bff16e3f71eeb0cc0df06f,2023-06-01,,Secondary,,1000,,,,1,0,1,717.7,$/month,,False,https://apps.openei.org/IURDB/rate/view/64bff16e3f71eeb0cc0df06f
Chicago,Commonwealth Edison Co,4110,Commercial,RDS-Very Large Load Delivery Class (Secondary),67a38c76820ecb5224036aea,2025-01-01,,Secondary,,1000,,,,1,0,1,154.13,$/month,,False,https://apps.openei.org/IURDB/rate/view/67a38c76820ecb5224036aea
Atlanta,Georgia Power Co,7140,Industrial,SCHEDULE MLM-10 MULTIPLE LOAD MANAGEMENT - Secondary Distribution,5ae3b2265457a358029b4e72,2018-04-01,,Secondary,3-Phase,1000,,,,1,1,0,85,$/month,kW,,https://apps.openei.org/IURDB/rate/view/5ae3b2265457a358029b4e72
Atlanta,Georgia Power Co,7140,Industrial,Schedule MLM-10 Multiple Load Management - Primary Distribution,5ae3b33d5457a38b479b4e72,2018-04-01,,Primary,3-Phase,1000,,,,1,1,0,85,$/month,kW,,https://apps.openei.org/IURDB/rate/view/5ae3b33d5457a38b479b4e72
Atlanta,Georgia Power Co,7140,Industrial,Schedule MLM-10 Multiple Load Management - Transmission Service,5ae3b3ee5457a3c5149b4e73,2018-04-01,,Transmission,3-Phase,1000,,,,1,1,0,85,$/month,kW,,https://apps.openei.org/IURDB/rate/view/5ae3b3ee5457a3c5149b4e73
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Primary) Mandatory,69de8ce0fcf14d499f019a5e,2026-03-27,,Secondary,,500,999,,,1,1,1,87.34546,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8ce0fcf14d499f019a5e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Primary) Voluntary,69de8ce6a6e15ebd62035b3e,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8ce6a6e15ebd62035b3e
